lessonId,route,title,catalog,mainTopic,subtopic,conceptId,existingType,newPrimaryType,interactionFormats,engine,currentAdapter,currentPresetSpecificity,targetPresetSpecificity,contentQuality,mathematicalReview,priority,applicabilityOfLearn,applicabilityOfExplore,applicabilityOfPractice,applicabilityOfChallenge,applicabilityOfInvestigation,applicabilityOfVisualProof,applicabilityOfAssessment,applicabilityOfRevision,notes
1,/lessons/core-workspaces/1-basic-calculator,Basic Calculator,core,Core Workspaces,Scientific Calculator,core-workspaces.scientific-calculator.basic-calculator,Calculator Lab,learn,numeric-answer,none,calculator,lesson,lesson-preset,lesson-specific,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Read the core idea for Basic Calculator. Inspect the visual or symbolic model. Answer the quick check. Choose the next resource.
2,/lessons/core-workspaces/2-fraction-calculator,Fraction Calculator,core,Core Workspaces,Scientific Calculator,core-workspaces.scientific-calculator.fraction-calculator,Calculator Lab,learn,numeric-answer,none,calculator,lesson,lesson-preset,lesson-specific,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Read the core idea for Fraction Calculator. Inspect the visual or symbolic model. Answer the quick check. Choose the next resource.
3,/lessons/core-workspaces/3-mixed-numbers,Mixed Numbers,core,Core Workspaces,Scientific Calculator,core-workspaces.scientific-calculator.mixed-numbers,Calculator Lab,learn,numeric-answer,none,calculator,lesson,lesson-preset,lesson-specific,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Read the core idea for Mixed Numbers. Inspect the visual or symbolic model. Answer the quick check. Choose the next resource.
4,/lessons/core-workspaces/4-percentage-calculator,Percentage Calculator,core,Core Workspaces,Scientific Calculator,core-workspaces.scientific-calculator.percentage-calculator,Calculator Lab,learn,numeric-answer,none,calculator,lesson,lesson-preset,lesson-specific,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Read the core idea for Percentage Calculator. Inspect the visual or symbolic model. Answer the quick check. Choose the next resource.
5,/lessons/core-workspaces/5-ratio-calculator,Ratio Calculator,core,Core Workspaces,Scientific Calculator,core-workspaces.scientific-calculator.ratio-calculator,Calculator Lab,learn,numeric-answer,none,calculator,lesson,lesson-preset,lesson-specific,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Read the core idea for Ratio Calculator. Inspect the visual or symbolic model. Answer the quick check. Choose the next resource.
6,/lessons/core-workspaces/6-powers-and-roots,Powers and Roots,core,Core Workspaces,Scientific Calculator,core-workspaces.scientific-calculator.powers-and-roots,Calculator Lab,learn,numeric-answer,none,calculator,lesson,lesson-preset,lesson-specific,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Read the core idea for Powers and Roots. Inspect the visual or symbolic model. Answer the quick check. Choose the next resource.
7,/lessons/core-workspaces/7-scientific-notation,Scientific Notation,core,Core Workspaces,Scientific Calculator,core-workspaces.scientific-calculator.scientific-notation,Calculator Lab,learn,numeric-answer,none,calculator,lesson,lesson-preset,lesson-specific,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Read the core idea for Scientific Notation. Inspect the visual or symbolic model. Answer the quick check. Choose the next resource.
8,/lessons/core-workspaces/8-logarithms,Logarithms,core,Core Workspaces,Scientific Calculator,core-workspaces.scientific-calculator.logarithms,Calculator Lab,learn,numeric-answer,none,calculator,lesson,lesson-preset,lesson-specific,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Read the core idea for Logarithms. Inspect the visual or symbolic model. Answer the quick check. Choose the next resource.
9,/lessons/core-workspaces/9-exponential-calculations,Exponential Calculations,core,Core Workspaces,Scientific Calculator,core-workspaces.scientific-calculator.exponential-calculations,Calculator Lab,learn,graphing,graph-2d,calculator,lesson,lesson-preset,lesson-specific,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Read the core idea for Exponential Calculations. Inspect the visual or symbolic model. Answer the quick check. Choose the next resource.
10,/lessons/core-workspaces/10-trigonometric-calculator,Trigonometric Calculator,core,Core Workspaces,Scientific Calculator,core-workspaces.scientific-calculator.trigonometric-calculator,Calculator Lab,learn,numeric-answer,none,calculator,lesson,lesson-preset,lesson-specific,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Read the core idea for Trigonometric Calculator. Inspect the visual or symbolic model. Answer the quick check. Choose the next resource.
